ideal_mdot [kg/s],ideal_is_choked [-],ideal_tank.mass [kg],ideal_tank.volume [m^3],ideal_tank.inenergy [J],ideal_tank.pressure [Pa],ideal_tank.temperature [degK],ideal_tank.density [kg/m^3],ideal_tank.sp_inenergy [J/kg],ideal_tank.sp_enthalpy [J/kg],atmospheric.pressure [Pa],time [s]
1.3372648690062277,1.0,0.32915010241454296,0.0037854117839999993,303970.53414923797,68371847.96122576,287.2090099502604,86.95225808874457,923501.2595147457,1709816.0656402474,101325.0,0.0
1.3287023764662549,1.0,0.3278214000380767,0.0037854117839999993,301698.6974795016,67802655.37058102,286.2738469762233,86.60125205498034,920314.2242832807,1703243.4979563132,101325.0,0.001
1.3202192341079113,1.0,0.3265011808039688,0.0037854117839999993,299450.0426531304,67239899.70347258,285.34445488399086,86.25248703034335,917148.4216864752,1696718.9827048236,101325.0,0.002
1.3118144524329947,1.0,0.3251893663515358,0.0037854117839999993,297224.2621699008,66683487.227016665,284.42077823868647,85.90594231413104,914003.632728248,1690241.9863356864,101325.0,0.003
1.3034870575780484,1.0,0.32388587929395773,0.0037854117839999993,295021.05361653725,66133325.89182849,283.502762338786,85.56159746290835,910879.6414948894,1683811.983256014,101325.0,0.004
1.295236091016308,1.0,0.32259064320294145,0.0037854117839999993,292840.1195653383,65589325.29603674,282.59035320376614,85.21943228645624,907776.2351002626,1677428.4556825946,101325.0,0.005
1.2870606092662955,1.0,0.32130358259367514,0.0037854117839999993,290681.16747516685,65051396.65018639,281.68349756200297,84.87942684379703,904693.2036321742,1671090.8934975876,101325.0,0.006
1.2789596836068755,1.0,0.3200246229100683,0.0037854117839999993,288543.90959474084,64519452.74300584,280.78214283891634,84.54156143929528,901630.3400998804,1664798.7941073664,101325.0,0.007
1.2709323997986182,1.0,0.31875369051026964,0.0037854117839999993,286428.0628681641,63993407.90801411,279.8862371453534,84.205816618832,898587.440382705,1658551.66230443,101325.0,0.008
1.262977857811304,1.0,0.3174907126524583,0.0037854117839999993,284333.3488426375,63473177.99094463,278.995729266206,83.87217316605108,895564.3031797387,1652349.0101323023,101325.0,0.009000000000000001
1.2550951715574064,1.0,0.3162356174809009,0.0037854117839999993,282259.4935782928,62958680.317963116,278.11056864925683,83.54061209867596,892560.7299605962,1646190.3567533472,101325.0,0.01
1.247283468631409,1.0,0.3149883340122695,0.0037854117839999993,280206.22756009386,62449833.66465767,277.23070539424776,83.21111466489522,889576.5249172028,1640075.2283194272,101325.0,0.011
1.2395418900548092,1.0,0.3137487921222147,0.0037854117839999993,278173.28561175073,61946558.225780085,276.35609024216683,82.88366233981553,886611.4949165885,1634003.1578453428,101325.0,0.012
1.2318695900266587,1.0,0.31251692253218805,0.0037854117839999993,276160.4068115935,61448775.58571693,275.4866745647462,82.55823682198061,883665.4494546612,1627973.6850849623,101325.0,0.013000000000000001
1.224265735679505,1.0,0.3112926567965085,0.0037854117839999993,274167.33441035607,60956408.68967201,274.6224103541709,82.23482002995439,880738.2006109408,1621986.3564100096,101325.0,0.014
1.216729506840605,1.0,0.31007592728966793,0.0037854117839999993,272193.8157508191,60469381.81553908,273.763250212987,81.91339409896759,877829.5630042253,1616040.7246914105,101325.0,0.015
1.2092600957982709,1.0,0.3088666671938697,0.0037854117839999993,270239.60218926484,59987620.54644762,272.9091473442106,81.59394137762575,874939.3537491717,1610136.3491831622,101325.0,0.016
1.201856707073225,1.0,0.30766481048679645,0.0037854117839999993,268304.4490186967,59511051.74396239,272.06005554162965,81.27644442467782,872067.392413768,1604272.7954086505,101325.0,0.017
1.1945185571948405,1.0,0.3064702919296016,0.0037854117839999993,266388.1153937782,59039603.52191983,271.21592918029455,80.96088600584376,869213.5009776719,1598449.6350493564,101325.0,0.018000000000000002
1.1872448744821509,1.0,0.3052830470551195,0.0037854117839999993,264490.364257448,58573205.220883906,270.37672320719463,80.64724909070013,866377.5037914035,1592666.445835904,101325.0,0.019
1.1800348988295044,1.0,0.30410301215629,0.0037854117839999993,262610.9622691669,58111787.38320475,269.54239313211514,80.3355168496221,863559.2275363627,1586922.8114413826,101325.0,0.02
1.1728878814967567,1.0,0.3029301242747932,0.0037854117839999993,260749.67973475653,57655281.7286643,268.7128950186704,80.02567265078109,860758.5011856593,1581218.3213768927,101325.0,0.021
