real_mdot [kg/s],real_is_choked [-],real_tank.mass [kg],real_tank.volume [m^3],real_tank.inenergy [J],real_tank.pressure [Pa],real_tank.temperature [degK],real_tank.density [kg/m^3],real_tank.sp_inenergy [J/kg],real_tank.sp_enthalpy [J/kg],atmospheric.pressure [Pa],time [s]
1.3237960317813153,1.0,0.3291635712517679,0.0037854117839999993,303993.6525628608,68377641.68182845,287.2185297165986,86.95581617911715,923533.7051630926,1709882.964894952,101325.0,0.0
1.315438375545873,1.0,0.327848132876222,0.0037854117839999993,301744.4068931458,67814097.8916212,286.2927457370657,86.60831412369853,920378.6040991987,1703376.155520943,101325.0,0.001
1.307156895825737,1.0,0.3265409759803963,0.0037854117839999993,299517.8270052715,67256849.50221945,285.37259410550314,86.26299980377415,917244.2328440058,1696916.2782772884,101325.0,0.002
1.2989506584208619,1.0,0.32524202532197544,0.0037854117839999993,297313.61648831813,66705806.09307625,284.4580215840489,85.91985334242715,914130.3808878653,1690502.8198307632,101325.0,0.003
1.2908187437076672,1.0,0.32395120657826776,0.0037854117839999993,295131.4837621899,66160878.844365045,283.5489756280484,85.57885510567952,911036.8406387926,1684135.27438933,101325.0,0.004
1.2827602463629315,1.0,0.32266844633190483,0.0037854117839999993,292971.14198270574,65621980.50324274,282.64540437452126,85.23998569871438,907963.4073712565,1677813.143564167,101325.0,0.005
1.2747742750937645,1.0,0.3213936720568111,0.0037854117839999993,290832.3089488759,65089025.35093625,281.7472566308617,84.90322596216949,904909.87917605,1671535.936234684,101325.0,0.006
1.2668599523735524,1.0,0.3201268121044375,0.0037854117839999993,288714.70701230696,64561929.170628145,280.8544818637666,84.56855696850062,901876.0569112133,1665303.1684164463,101325.0,0.007
1.2590164141837112,1.0,0.3188677956902538,0.0037854117839999993,286618.0629886785,64040609.21612059,279.9670301883833,84.23596001841311,898861.7441539863,1659114.3631319383,101325.0,0.008
1.2512428097610702,1.0,0.31761655288049273,0.0037854117839999993,284542.1080712384,63524984.18125572,279.08485235767773,83.90541663736016,895866.7471537637,1652969.0502840986,101325.0,0.009000000000000001
1.2435383013508268,1.0,0.3163730145791419,0.0037854117839999993,282486.5777462626,63014974.170071535,278.20789975201023,83.57690857210635,892890.8747860274,1646866.7665325508,101325.0,0.01
1.235902063964821,1.0,0.31513711251517706,0.0037854117839999993,280451.2117104299,62510500.66767396,277.3361243689212,83.25041778735508,889933.9385072374,1640807.0551724688,101325.0,0.011
1.2283332851451063,1.0,0.31390877923003196,0.0037854117839999993,278435.75379006064,62011486.51180508,276.4694788131168,82.92592646243847,886995.7523106522,1634789.46601602,101325.0,0.012
1.2208311647326016,1.0,0.31268794806529937,0.0037854117839999993,276439.9518621717,61517855.8650888,275.607916286653,82.60341698806828,884076.1326830611,1628813.5552763036,101325.0,0.013000000000000001
1.2133949146407774,1.0,0.3114745531506586,0.0037854117839999993,274463.55777730147,61029534.187935814,274.751390579312,82.28287196314668,881174.8985624033,1622878.8854537467,101325.0,0.014
1.2060237586341793,1.0,0.31026852939202443,0.0037854117839999993,272506.3272840585,60546448.2120899,273.8998560591661,81.96427419163561,878291.8712962558,1616985.025224881,101325.0,0.015
1.1987169321117057,1.0,0.3090698124599127,0.0037854117839999993,270568.0199553504,60068525.91479871,273.05326766332774,81.64760667948319,875426.8746011675,1611131.5493334525,101325.0,0.016
1.1914736818945117,1.0,0.3078783387780182,0.0037854117839999993,268648.39911624964,59595696.49359212,272.21158088887654,81.33285263160639,872579.734522819,1605318.0384838055,101325.0,0.017
1.1842932660185148,1.0,0.3066940455119997,0.0037854117839999993,266747.2317734552,59127890.341651805,271.3747517839642,81.01999544892836,869750.279396991,1599544.079236483,101325.0,0.018000000000000002
1.177174953531174,1.0,0.3055168705584685,0.0037854117839999993,264864.28854630893,58665039.02375686,270.5427369390903,80.7090187254694,866938.339811321,1593809.2639060016,101325.0,0.019
1.1701180242926803,1.0,0.3043467525341758,0.0037854117839999993,262999.3435993279,58207075.25278961,269.71549347854557,80.39990624549074,864143.7485678283,1588113.190460731,101325.0,0.02
1.1631217687813358,1.0,0.30318363076539445,0.0037854117839999993,261152.17457621425,57753932.866787456,268.8929790520204,80.09264198068934,861366.3406461927,1582455.4624248473,101325.0,0.021
1.1561854879029887,1.0,0.3020274452774915,0.0037854117839999993,259322.56253530583,57305546.80652563,268.07515182637206,79.7872100874433,858605.9531677659,1576835.6887822992,101325.0,0.022
1.149308492804528,1.0,0.30087813678468694,0.0037854117839999993,257510.29188643105,56861853.093617864,267.26197047755034,79.48359490410648,855862.4253603026,1571253.4838827464,101325.0,0.023
1.1424901046912506,1.0,0.2997356466799957,0.0037854117839999993,255715.15032913335,56422788.8091206,266.45339418267525,79.18178094835132,853135.5985233895,1565708.4673494147,101325.0,0.024
1.1357296546480462,1.0,0.29859991702534766,0.0037854117839999993,253936.92879223108,55988292.0726282,265.6493826122656,78.88175291455893,850425.3159945613,1560200.2639888353,101325.0,0.025
1.1290264834643255,1.0,0.29747089054188336,0.0037854117839999993,252175.42137467966,55558302.02184614,264.8498959226133,78.58349567125546,847731.4231160841,1554728.5037024142,101325.0,0.026000000000000002
1.1223799414625655,1.0,0.2963485106004208,0.0037854117839999993,250430.42528770395,55132758.79262956,264.0548947483014,78.28699425859368,845053.7672023933,1549292.8213997965,101325.0,0.027
1.1157893883304197,1.0,0.2952327212120904,0.0037854117839999993,248701.74079816957,54711603.499475986,263.26434019486214,77.99223388587899,842392.1975081695,1543892.8569139757,101325.0,0.028
1.1092541929562811,1.0,0.2941234670191341,0.0037854117839999993,246989.1711731625,54294778.2164596,262.4781938315728,77.69919992913886,839746.5651970392,1538528.2549181182,101325.0,0.029
1.1027737332682441,1.0,0.2930206932858659,0.0037854117839999993,245292.52262574778,53882225.9585962,261.6964176843842,77.40787792873472,837116.7233108847,1533198.664844054,101325.0,0.03
1.0963473960763674,1.0,0.2919243458897895,0.0037854117839999993,243611.60426187824,53473890.66362796,260.9189742289818,77.11825358701572,834502.5267397505,1527903.7408023998,101325.0,0.031
1.0899745769181632,1.0,0.2908343713128713,0.0037854117839999993,241946.22802842545,53069717.17421665,260.1458263839744,76.83031276601304,831903.8321923326,1522643.1415042784,101325.0,0.032
1.0836546799072497,1.0,0.2897507166329641,0.0037854117839999993,240296.20866230567,52669651.220535934,259.3769375042085,76.54404148517443,829320.4981670367,1517416.530184595,101325.0,0.033
