Sump.upstream_presure [Pa],Sump.dp [dPa],Sump.velocity [m/s],Ball Valve.upstream_presure [Pa],Ball Valve.dp [dPa],Ball Valve.velocity [m/s],Outlet pipe.upstream_presure [Pa],Outlet pipe.dp [dPa],Outlet pipe.velocity [m/s],Injector Flex Pipe.upstream_presure [Pa],Injector Flex Pipe.dp [dPa],Injector Flex Pipe.velocity [m/s],Injector.upstream_presure [Pa],Injector.dp [dPa],Injector.velocity [m/s],System Pressure Drop [dPa],System Outlet Pressure [Pa],mdot [kg/s]
1378951.4586336727,0.018994049782306344,0.0044937847001002345,1378951.4396396228,194.89539564453347,0.45520210832814584,1378756.5442439783,698.7287475368622,0.5713376157618989,1378057.8154964414,46.9841278582515,0.400466832204827,1378010.8313685833,5168.018247226992,2.344043750856085,6108.645512316421,1372842.8131213563,0.04535923700000001
1378951.4586336727,0.019077891523904513,0.004503691799507794,1378951.4395557812,195.75568450277737,0.45620565719372164,1378755.6838712783,701.357603800391,0.5725972001222596,1378054.326267478,47.0877093281602,0.40134971194314106,1378007.23855815,5190.830445522617,2.3492114917808133,6135.050521045469,1372816.4081126272,0.04545923700000001
1378951.4586336727,0.019161917901376665,0.004513598898915353,1378951.4394717547,196.6178678849428,0.45720920605929394,1378754.8216038698,703.9906755721912,0.5738567844861093,1378050.8309282977,47.19129079313877,0.4022325916906894,1378003.6396375045,5213.692880896115,2.3543792327607487,6161.511877064289,1372789.9467566083,0.045559237000000016
1378951.4586336727,0.01924612891472278,0.004523505998322912,1378951.4393875438,197.4819457910332,0.45821275492487046,1378753.9574417528,706.627960776816,0.5751163688534501,1378047.3294809759,47.2948722531767,0.4031154714474918,1378000.0346087227,5236.6055533485,2.3595469737959864,6188.02957829844,1372763.4290553743,0.04565923700000002
1378951.4586336727,0.01933052456394287,0.004533413097730471,1378951.439303148,198.34791822104674,0.459216303790447,1378753.091384927,709.2694573449078,0.5763759532242979,1378043.8219275821,47.39845370826559,0.40399835121356403,1377996.4234738739,5259.568462880832,2.3647147148866416,6214.603622679616,1372736.855010993,0.04575923700000002
1378951.4586336727,0.019415104849036923,0.004543320197138031,1378951.439218568,199.21578517498207,0.4602198526560206,1378752.2234333928,711.9151632131786,0.5776355375986553,1378040.3082701797,47.50203515839675,0.4048812309889223,1377992.8062350212,5282.5816094941,2.369882456032794,6241.234008145507,1372710.2246255272,0.045859237000000025
1378951.4586336727,0.01949986977000495,0.00455322729654559,1378951.439133803,200.08554665284163,0.46122340152159674,1378751.35358715,714.5650763243689,0.578895121976534,1378036.7885108257,47.6056166035621,0.40576411077358143,1377989.1828942222,5305.644993189329,2.3750501972345397,6267.920732639872,1372683.5379010327,0.04595923700000003
1378951.4586336727,0.019584819326846952,0.004563134395953149,1378951.4390488532,200.95720265462438,0.4622269503871731,1378750.4818461987,717.2191946272244,0.5801547063579371,1378033.2626515715,47.709198043751876,0.40664699056756015,1377985.5534535279,5328.758613967534,2.380217938491971,6294.663794112462,1372656.7948395603,0.04605923700000003
1378951.4586336727,0.019669953519562917,0.004573041495360708,1378951.4389637192,201.83075318033008,0.4632304992527494,1378749.6082105387,719.8775160764609,0.581414290742873,1378029.7306944623,47.812779478958085,0.40752987037087296,1377981.9179149834,5351.922471829788,2.385385679805202,6321.463190519057,1372629.9954431537,0.046159237000000033
1378951.4586336727,0.019755272348152858,0.0045829485947682675,1378951.4388784003,202.70619822995909,0.46423404811832586,1378748.7326801703,722.5400386327298,0.5826738751313512,1378026.1926415376,48.99479746724971,0.40841275018353734,1377977.1978440704,5375.136572989107,2.3905534239370696,6349.397362591393,1372602.0612710812,0.046259237000000036
1378951.4586336727,0.019840775812616767,0.004592855694175827,1378951.438792897,203.58353780351206,0.4652375969839044,1378747.8552550934,725.2067602625958,0.5839334595233807,1378022.6484948308,50.55522801820619,0.40929563000556957,1377972.0932668126,5398.400913477502,2.395721169108403,6377.766280337629,1372573.692353335,0.04635923700000004
1378951.4586336727,0.019926463912954648,0.0046027627935833855,1378951.4387072087,204.4627719009867,0.46624114584947957,1378746.9759353078,727.877678938511,0.5851930439189629,1378019.0982563694,52.12894254532581,0.41017850983698634,1377966.9693138239,5421.715491203028,2.400888914386117,6406.204811051764,1372545.253822621,0.04645923700000004
1378951.4586336727,0.02001233664916649,0.004612669892990945,1378951.4386213361,205.3439005223864,0.46724469471505925,1378746.0947208137,730.5527926387655,0.5864526283181118,1378015.541928175,53.71598630114012,0.4110613896778041,1377961.8259418737,5445.080306168264,2.406056659770667,6434.7129979672045,1372516.7456357055,0.046559237000000045
1378951.4586336727,0.020098394021252314,0.004622576992398504,1378951.4385352787,206.22692366770838,0.46824824358063705,1378745.2116116108,733.2320993474789,0.587712212720834,1378011.9795122636,55.316404538179654,0.41194426952803714,1377956.6631077253,5468.49535837569,2.4112244052624585,6463.290884323078,1372488.1677493495,0.04665923700000005
1378951.4586336727,0.020184636029212104,0.004632484091806063,1378951.4384490366,207.11184133695255,0.4692517924462128,1378744.3266076997,735.9155970545621,0.5889717971271359,1378008.411010645,56.9302425090229,0.41282714938770576,1377951.4807681362,5491.9606478279275,2.4163921508619595,6491.938513364495,1372459.5201203083,0.04675923700000005
1378951.4586336727,0.020271062673045858,0.004642391191213622,1378951.43836261,207.9986535301216,0.4702553413117927,1378743.43970908,738.6032837556863,0.590231381537026,1378004.8364253242,58.557545466213284,0.413710029256824,1377946.278879858,5515.476174527503,2.4215598965695864,6520.655928342197,1372430.8027053305,0.046859237000000054
1378951.4586336727,0.02035767395275359,0.004652298290621182,1378951.4382759987,208.88736024721317,0.4712588901773711,1378742.5509157516,741.2951574522624,0.5914909659505084,1378001.2557582993,60.19835866231073,0.4145929091354081,1377941.0573996368,5539.041938477003,2.426727642385784,6549.443172512742,1372402.0154611599,0.046959237000000056
1378951.4586336727,0.020444469868335292,0.004662205390028741,1378951.438189203,209.77796148822756,0.472262439042949,1378741.6602277146,743.9912161513985,0.5927505503675963,1377997.6690115633,61.852727349910595,0.41547578902347654,1377935.8162842132,5562.657939678995,2.4318953883109815,6578.300289138399,1372373.1583445342,0.04705923700000006
1378951.4586336727,0.020531450419790966,0.0046721124894363,1378951.4381022223,210.67045725316606,0.47326598790852886,1378740.767644969,746.6914578658855,0.5940101347882938,1377994.0761871033,63.52069678154785,0.41635866892104084,1377930.5554903217,5586.324178136107,2.437063134345632,6607.227321487126,1372344.2313121855,0.04715923700000006
1378951.4586336727,0.0206186156071206,0.004682019588843859,1378951.438015057,211.5648475420269,0.4742695367741074,1378739.873167515,749.3958806141608,0.5952697192126105,1377990.4772869009,65.20231220985296,0.4172415488281216,1377925.274974691,5610.040653850902,2.4422308804901562,6636.22431283255,1372315.23432084,0.047259237000000065
1378951.4586336727,0.020705965430324217,0.0046919266882514184,1378951.4379277073,212.46113235481155,0.4752730856396871,1378738.9767953525,752.104482420286,0.5965293036405517,1377986.872312932,66.89761888742413,0.4181244287447355,1377919.9746940448,5633.807366826022,2.447398626745007,6665.291306453974,1372286.1673272187,0.04735923700000007
1378951.4586336727,0.0207934998894018,0.004701833787658978,1378951.4378401728,213.35931169151968,0.47627663450526814,1378738.0785284813,754.8172613139076,0.5977888880721295,1377983.2612671673,68.60666206682536,0.4190073086708942,1377914.6546051006,5657.624317064127,2.4525663731106393,6694.428345636269,1372257.0302880364,0.04745923700000007
1378951.4586336727,0.020881218984353352,0.004711740887066536,1378951.4377524536,214.25938555215077,0.47728018337084843,1378737.1783669016,757.5342153302489,0.5990484725073444,1377979.6441515712,70.32948700071844,0.4198901886066196,1377909.3146645706,5681.491504567828,2.457734119587483,6723.63547366993,1372227.8231600027,0.047559237000000074
1378951.4586336727,0.02096912271517887,0.004721647986474096,1378951.43766455,215.1613539367051,0.47828373223642917,1378736.2763106131,760.2553425100582,0.6003080569462124,1377976.0209681033,72.06613894170908,0.4207730685519265,1377903.9548291615,5705.4089293397465,2.4629018661759714,6752.912733850934,1372198.5458998217,0.047659237000000076
1378951.4586336727,0.021057211081878364,0.004731555085881655,1378951.4375764616,216.0652168451823,0.47928728110200935,1378735.3723596164,762.9806408996062,0.6015676413887332,1377972.3917187168,73.81666314241036,0.4216559485068294,1377898.5750555743,5729.376591382562,2.4680696128765565,6782.260169480843,1372169.1984641918,0.04775923700000008
1378951.4586336727,0.02114548408445183,0.004741462185289214,1378951.4374881885,216.97097427758308,0.4802908299675906,1378734.466513911,765.7101085506378,0.6028272258349215,1377968.7564053603,75.58110485547516,0.42253882847134666,1377893.175300505,5753.394490698991,2.4732373596897026,6811.677823866771,1372139.780809806,0.04785923700000008
1378951.4586336727,0.021233941722899257,0.004751369284696773,1378951.437399731,217.87862623390737,0.4812943788331726,1378733.5587734971,768.443743520361,0.6040868102847794,1377965.1150299767,77.35950933352015,0.4234217084454912,1377887.7555206432,5777.462627291668,2.478405106615837,6841.165740321179,1372110.2928933515,0.047959237000000085
1378951.4586336727,0.021322583997220663,0.004761276384104333,1378951.4373110887,218.78817271415454,0.4822979276987543,1378732.6491383745,771.1815438714074,0.6053463947383195,1377961.4675945032,79.15192182924714,0.4243045884292846,1377882.315672674,5801.58100116332,2.483572853655423,6870.723962162127,1372080.7346715105,0.04805923700000009
1378951.4586336727,0.02141141090741604,0.004771183483511892,1378951.4372222617,219.69961371832488,0.4833014765643362,1378731.7376085434,773.9235076718186,0.6066059791955463,1377957.8141008716,80.9583875952759,0.425187468422739,1377876.8557132764,5825.749612316596,2.4887406008088826,6900.352532712923,1372051.1061009597,0.04815923700000009
