isothermal_mdot [kg/s],isothermal_tank.mass [kg],isothermal_tank.volume [m^3],isothermal_tank.inenergy [J],isothermal_tank.pressure [Pa],isothermal_tank.temperature [degK],isothermal_tank.density [kg/m^3],isothermal_tank.sp_inenergy [J/kg],isothermal_tank.sp_enthalpy [J/kg],time [s]
-0.0927179233146152,0.30755154796239087,0.0037854117839999993,61137.15441171456,6894757.293166357,288.1499999999284,81.24652363115032,198786.69061093705,283648.87283148954,0.0
-0.0927179233146152,0.30745883003907626,0.0037854117839999993,61120.071854652364,6892668.029009611,288.14999999992847,81.22203014705792,198791.07666832776,283653.12722944666,0.001
-0.09268883376374479,0.3073661412053125,0.0037854117839999993,61102.993856341505,6890579.443824201,288.1499999999285,81.19754434761188,198795.4613892436,283657.38054201903,0.002
-0.09265975425175496,0.30727348145106076,0.0037854117839999993,61085.920415676126,6888491.537345524,288.1499999999286,81.17306623016019,198799.84477412587,283661.63276942534,0.003
-0.09263068477442715,0.3071808507662863,0.0037854117839999993,61068.85153155055,6886404.309309116,288.1499999999286,81.14859579205198,198804.22682341555,283665.8839118838,0.004
-0.09260162532754466,0.3070882491409588,0.0037854117839999993,61051.787202859414,6884317.759450656,288.1499999999285,81.12413303063751,198808.6075375538,283670.1339696135,0.005
-0.09257257590689368,0.3069956765650519,0.0037854117839999993,61034.72742849751,6882231.887505979,288.1499999999285,81.0996779432681,198812.98691698138,283674.3829428329,0.006
-0.09254353650826247,0.3069031330285436,0.0037854117839999993,61017.672207359814,6880146.693211048,288.1499999999285,81.07523052729623,198817.36496213888,283678.6308317606,0.007
-0.0925145071274417,0.30681061852141617,0.0037854117839999993,61000.62153834158,6878062.176301984,288.1499999999285,81.05079078007547,198821.7416734668,283682.87763661525,0.008
-0.09248548776022468,0.3067181330336559,0.0037854117839999993,60983.5754203382,6875978.336515036,288.1499999999285,81.0263586989605,198826.1170514054,283687.12335761555,0.009000000000000001
