conservation_mdot [kg/s],conservation_tank.mass [kg],conservation_tank.volume [m^3],conservation_tank.inenergy [J],conservation_tank.pressure [Pa],conservation_tank.temperature [degK],conservation_tank.density [kg/m^3],conservation_tank.sp_inenergy [J/kg],conservation_tank.sp_enthalpy [J/kg],time [s]
-0.9480281035081789,0.8024000195065205,0.0037854117839999993,110129.31845086851,14287275.391414843,239.1256622411974,211.9716599652559,137249.89503190506,204651.71371727396,0.23
-0.9301579849261586,0.7930984396572589,0.0037854117839999993,108225.73419443906,13967616.696660804,237.56923798046606,209.51444252630324,136459.39618946836,203126.00173818736,0.24
-0.9128207813333973,0.7839702318439249,0.0037854117839999993,106371.55783828125,13658950.157119496,236.0402852448333,207.10302513390312,135683.15928028504,201635.60081651207,0.25
-0.8959938942209662,0.7750102929017152,0.0037854117839999993,104564.91516638955,13360749.76387605,234.5379068664679,204.73605967453588,134920.67927883661,200179.089473481,0.26
-0.8796559629620372,0.7662137332720949,0.0037854117839999993,102804.02786923296,13072521.543390675,233.06124721087346,202.41225446348824,134171.4764498036,198755.12321585827,0.27
-0.8637867823062019,0.7575758654490329,0.0037854117839999993,101087.20738573797,12793801.211516349,231.60948973630843,200.13037119267156,133435.09474898758,197362.4293922605,0.28
-0.8483672263224521,0.7490921931858083,0.0037854117839999993,99412.84921770025,12524152.026885547,230.18185472561655,197.88922207936162,132711.1003452167,195999.80245483865,0.29
-0.8333791782143519,0.7407584014036648,0.0037854117839999993,97779.42767470036,12263162.82446832,228.77759717631488,195.68766720034728,131999.08025264094,194666.09958970093,0.3
-0.8188054654887871,0.7325703467487769,0.0037854117839999993,96185.49101180605,12010446.212162906,227.3960048361054,193.52461199734486,131298.64106387494,193360.23668318402,0.31
-0.8046298000111045,0.7245240487486658,0.0037854117839999993,94629.65692608115,11765636.91509607,226.03639637215701,191.39900494077025,130609.40777537636,192081.1845943678,0.32
-0.790836722525244,0.7166156815234134,0.0037854117839999993,93110.6083812474,11528390.253915057,224.69811966356505,189.3098353400734,129931.02269728278,190827.96570716723,0.33
-0.7774115512582994,0.7088415660108304,0.0037854117839999993,91627.08973280866,11298380.744772404,223.38055020734615,187.25613128984503,129263.14444066996,189599.65073794135,0.34
-0.7643403342653609,0.7011981626681768,0.0037854117839999993,90177.90312859233,11075300.809963604,222.08308962918727,185.2369577418151,128605.44697585951,188395.35577689073,0.35000000000000003
-0.7516098052031059,0.6936820646161458,0.0037854117839999993,88761.90516202594,10858859.589293648,220.80516429093444,183.25141469368498,127957.6187559974,187214.23954359043,0.36
-0.7392073422497429,0.6862899911936483,0.0037854117839999993,87378.0037575827,10648781.843241177,219.54622398750746,181.29863548648171,127319.36190065683,186055.50083886296,0.37
-0.7271209299150646,0.6790187818944977,0.0037854117839999993,86025.15526972503,10444806.939872073,218.3057407265535,179.37778520279943,126690.39143469695,184918.3761768626,0.38
-0.7153391235078197,0.6718653906594195,0.0037854117839999993,84702.36177837657,10246687.91824119,217.0832075847212,177.48805915890804,126070.4345780384,183802.13758272986,0.39
-0.703851016048695,0.6648268804989326,0.0037854117839999993,83408.6685654813,10054190.621723505,215.87813763495075,175.62868148426853,125459.23008240221,182706.09054251492,0.4
-0.6926462074361612,0.6579004184245709,0.0037854117839999993,82143.1617585837,9867092.895343352,214.6900629396432,173.79890378250354,124856.52761140706,181629.5720932715,0.41000000000000003
-0.6817147756895104,0.6510832706676758,0.0037854117839999993,80904.96612860223,9685183.841732029,213.51853360499436,171.9980038683358,124262.08716073359,180571.9490423053,0.42
-0.671047250108833,0.6443727981665874,0.0037854117839999993,79693.24303008591,9508263.130846653,212.36311689216058,170.22528457543038,123675.67851534772,179532.6163055344,0.43
-0.6606345862055606,0.6377664523045319,0.0037854117839999993,78507.18847325182,9336140.35903459,211.22339638127602,168.48007263046338,123097.08074103095,178510.99535580006,0.44
-0.6504681422697911,0.631261770881834,0.0037854117839999993,77346.03131801364,9168634.45343259,210.09897118465736,166.76171758909337,122526.08170769787,177506.53277275836,0.45
-0.6405396574519748,0.6248563743073142,0.0037854117839999993,76209.03158103614,9005573.118053617,208.98945520581816,165.06959082983462,121962.47764219067,176518.69888670312,0.46
-0.6308412312468309,0.618547961994846,0.0037854117839999993,75095.47884759837,8846792.318242624,207.8944764411849,163.40308460212847,121406.07270843146,175546.98650931683,0.47000000000000003
-0.6213653042767204,0.6123343089520787,0.0037854117839999993,74004.69078072613,8692135.800477061,206.81367632164134,161.7616111251792,120856.6786129858,174590.90974493616,0.48
-0.6121046402801545,0.6062132625492772,0.0037854117839999993,72936.01172067004,8541454.644754693,205.74670909125103,160.14460173437166,120314.1142342482,173650.002876453,0.49
-0.6030523092188355,0.6001827394570889,0.0037854117839999993,71888.81136836502,8394606.84705151,204.69324122070836,158.55150607231508,119778.20527360373,172723.81932045327,0.5
-0.5942016714236203,0.5942407227428527,0.0037854117839999993,70862.48354701616,8251456.929549879,203.65295085325153,156.98179132176887,119248.78392704949,171811.93064663745,0.51
-0.5855463627061726,0.588385259115791,0.0037854117839999993,69856.44503641952,8111875.576533775,202.62552728094028,155.43494147789949,118725.68857587942,170913.9256569682,0.52
-0.5770802803688827,0.5826144563121022,0.0037854117839999993,68870.13447504882,7975739.294025929,201.6106704493555,153.91045665749485,118208.76349514336,170029.40952034987,0.53
-0.5687975700509197,0.576926480611593,0.0037854117839999993,67903.01132532515,7842930.091403339,200.60809048891844,152.4078524429281,117697.85857869092,169158.00295898307,0.54
-0.5606926133531305,0.5713195544780617,0.0037854117839999993,66954.55489783846,7713335.183373936,199.6175072711594,150.92665925881258,117192.82907970108,168299.34148283413,0.55
-0.5527600161889076,0.5657919543161727,0.0037854117839999993,66024.26343061212,7586846.710830545,198.63864998838415,149.4664217794311,116693.53536568109,167453.07466894027,0.56
-0.5449945978121904,0.5603420083380508,0.0037854117839999993,65111.65321979598,7463361.479218988,197.671256755296,148.02669836514963,116199.84268699435,166618.86548252075,0.5700000000000001
-0.5373913804774632,0.5549680945332762,0.0037854117839999993,64216.25779844358,7342780.713167555,196.71507423123356,146.60706052614654,115711.62095804614,165796.3896370963,0.58
-0.5299455796899935,0.5496686387363763,0.0037854117839999993,63337.627160276184,7225009.82622529,195.76985726177736,145.2070924118982,115228.74455032028,164985.33499103127,0.59
-0.5226525950076717,0.5444421127862996,0.0037854117839999993,62475.327025563456,7109958.204647929,194.83536853856498,143.8263903249633,114751.09209651791,164185.40097810485,0.6
