volume [m^3],pressure [Pa],temp [degK],liq_sp_intenergy [J/kg],liquid_sat_density [kg/m^3],vapor_sat_sp_inenergy [J/kg],vapor_sat_density [kg/m^3],x [-],total_mass [kg],total_inenergy [J],total_mdot [kg/s],total_inenergy_dot [J/s],time [s]
0.008963947725436136,4777000.0,290.6947123517793,201746.46885608768,803.2175354580938,354347.54101512406,145.62671531354366,0.0,7.2,1452574.5757638314,0.0,0.0,0.0
0.008963947725436136,4776848.86057806,290.69333596064183,201743.0517332713,803.227329057175,354348.5674834507,145.62017644125197,1.944653682643158e-05,7.199455895618005,1452461.5686575877,-0.5441043819954824,-113007.10624370186,0.001
0.008963947725436136,4776697.727681927,290.69195959605497,201739.63663483903,803.2371166766447,354349.59326090204,145.6136417169088,3.888016094873497e-05,7.1989118113532875,1452348.5677295632,-0.544084264717199,-113000.92802463677,0.002
0.008963947725436136,4776546.601397951,290.6905832584335,201736.22167387902,803.2469037245422,354350.6189143236,145.60710752967123,5.831323765392292e-05,7.198367747204557,1452235.5729792574,-0.5440641487308004,-112994.75030566764,0.003
0.008963947725436136,4776395.48172518,290.68920694777194,201732.80685036417,803.2566902009778,354351.6444437381,145.6005738794388,7.774576741001459e-05,7.197823703170512,1452122.5844061675,-0.54404403404556,-112988.57308983478,0.004
0.008963947725436136,4776244.368662739,290.6878306640649,201729.3921642693,803.2664761060561,354352.66984916746,145.5940407661153,9.717775067216905e-05,7.19727967924985,1452009.6020097905,-0.5440239206612615,-112982.39637705305,0.005
0.008963947725436136,4776093.262209753,290.6864544073072,201725.97761556823,803.2762614398843,354353.69513063336,145.58750818960422,0.00011660918790099218,7.196735675441272,1451896.6257896232,-0.5440038085776882,-112976.22016723859,0.006
0.008963947725436136,4775942.162365288,290.6850781774933,201722.5632042348,803.2860462025702,354354.7202881584,145.58097614980693,0.0001360400795581495,7.196191691743477,1451783.6557451629,-0.543983697794632,-112970.04446030785,0.007
0.008963947725436136,4775791.069128538,290.68370197461786,201719.1489302436,803.2958303942191,354355.7453217645,145.57444464662643,0.00015547042609950364,7.195647728155166,1451670.6918759067,-0.543963588311871,-112963.86925617523,0.008
0.008963947725436136,4775639.982498562,290.6823257986755,201715.73479356788,803.3056140149398,354356.77023147355,145.5679136799652,0.00017490022798998504,7.1951037846750365,1451557.734181352,-0.5439434801292008,-112957.69455475993,0.009000000000000001
0.008963947725436136,4775488.902474433,290.68094964966104,201712.32079418236,803.3153970648373,354357.79501730745,145.5613832497277,0.00019432948568528984,7.19455986130179,1451444.782660996,-0.5439233732464017,-112951.52035597613,0.01
0.008963947725436136,4775337.829055354,290.6795735275688,201708.9069320611,803.3251795440189,354358.8196792887,145.55485335581432,0.0002137581996444615,7.194015958034127,1451331.8373143363,-0.5439032676632605,-112945.34665973914,0.011
0.008963947725436136,4775186.762240325,290.67819743239346,201705.49320717854,803.334961452589,354359.8442174392,145.5483239981296,0.0002331863703247457,7.193472074870748,1451218.8981408703,-0.5438831633795663,-112939.17346596731,0.012
0.008963947725436136,4775035.702028555,290.67682136412964,201702.07961950818,803.3447427906569,354360.86863178015,145.5417951765774,0.00025261399818940516,7.192928211810353,1451105.9651400957,-0.5438630603951009,-112933.00077457422,0.013000000000000001
0.008963947725436136,4774884.648419056,290.67544532277213,201698.66616902445,803.3545235583275,354361.89292233466,145.53526689105806,0.0002720410836955169,7.192384368851643,1450993.03831151,-0.5438429587096515,-112926.82858547714,0.014
