isenthalpic_mdot [kg/s],isenthalpic_tank.mass [kg],isenthalpic_tank.volume [m^3],isenthalpic_tank.inenergy [J],isenthalpic_tank.pressure [Pa],isenthalpic_tank.temperature [degK],isenthalpic_tank.density [kg/m^3],isenthalpic_tank.sp_inenergy [J/kg],isenthalpic_tank.sp_enthalpy [J/kg],time [s]
-1.2617185333248149,0.9122950068680123,0.0037854117839999993,153566.22370862684,21545944.14471483,284.96378910700435,241.00284432041397,168329.56724802536,257730.76998266793,0.12
-1.2392472065210975,0.8999025348028014,0.0037854117839999993,151800.41147025654,21168677.62511958,284.69854494851404,237.72909954115616,168685.39158356862,257730.76998266875,0.13
-1.2173640898017493,0.8877288939047838,0.0037854117839999993,150053.37861419693,20801349.295885894,284.43184741264594,234.51316384045577,169030.634965782,257730.76998266953,0.14
-1.196047035073792,0.8757684235540459,0.0037854117839999993,148325.14007832756,20443569.80602833,284.1639091714364,231.35354184073256,169365.7091179356,257730.76998267055,0.15
-1.1752749793043413,0.8640156737610025,0.0037854117839999993,146615.68843317998,20094970.054211657,283.8949290036379,228.2487938070525,169691.0054825414,257730.76998267166,0.16
-1.1550278801046632,0.8524653949599559,0.0037854117839999993,144924.99611158393,19755199.904832523,283.62509274669833,225.19753295087116,170006.8964305486,257730.76998267267,0.17
-1.1352866557958852,0.841112528401997,0.0037854117839999993,143253.0174334273,19423926.999032427,283.3545741760994,222.198422892107,170313.73638624686,257730.76998267393,0.18
-1.1160331295965602,0.8299521971060314,0.0037854117839999993,141599.69044515013,19100835.652653065,283.08353581826714,219.25017526865489,170611.8628746276,257730.76998267497,0.19
-1.0972499776051436,0.81897969732998,0.0037854117839999993,139964.93859157764,18785625.83389931,282.8121297026656,216.35154748331607,170901.5974973352,257730.76998267628,0.2
-1.0789206802799904,0.8081904905271801,0.0037854117839999993,138348.67223590837,18478012.214150093,282.5404980581502,213.5013405789039,171183.24684278824,257730.76998267762,0.21
-1.0610294771460407,0.7975801957557197,0.0037854117839999993,136750.79004208033,18177723.28596343,282.26877395818116,210.69839723300228,171457.10333555465,257730.76998267908,0.22
-1.0435613244813204,0.7871445825109065,0.0037854117839999993,135171.18023231917,17884500.542864185,281.99708191907143,207.9415998645041,171723.4460296197,257730.7699826807,0.23
-1.026501855757907,0.7768795639533274,0.0037854117839999993,133609.72173140172,17598097.715992086,281.7255384550598,205.22986884465394,171982.5413497794,257730.76998268245,0.24
-1.0098373446314781,0.7667811905070125,0.0037854117839999993,132066.28520804082,17318280.063126363,281.4542525936597,202.56216080586194,172234.6437850356,257730.76998268432,0.25
-0.9935546702911011,0.7568456438041016,0.0037854117839999993,130540.73402278042,17044823.705999386,281.183326354428,199.9374670420537,172479.9965375357,257730.7699826863,0.26
-0.9776412849967744,0.7470692309541338,0.0037854117839999993,129032.92509088466,16777515.012168378,280.91285519401566,197.35481199477715,172718.8321303071,257730.7699826883,0.27
-0.9620851836465905,0.7374483791176679,0.0037854117839999993,127542.70966789256,16516150.018037515,280.6429284201243,194.81325181970428,172951.37297676769,257730.76998269052,0.28
-0.9468748752283862,0.727979630365384,0.0037854117839999993,126069.93406477795,16260533.889913127,280.37362957675424,192.3118730285498,173177.8319147495,257730.76998269264,0.29
-0.9319993560225214,0.7186596368051589,0.0037854117839999993,124614.44029900084,16010480.4202397,280.1050368029381,189.8497912017804,173398.41270755266,257730.7699826949,0.3
-0.9174480844331419,0.7094851559608275,0.0037854117839999993,123176.06668714645,15765811.556403123,279.83722316696463,187.42614976781286,173613.31051434614,257730.76998269735,0.31
-0.903210957335011,0.7004530463874774,0.0037854117839999993,121754.64838431681,15526356.959704457,279.57025697792915,185.04011884469728,173822.7123320475,257730.7699827,0.32
-0.8892782878318414,0.691560263509159,0.0037854117839999993,120350.0178749636,15291953.592305075,279.3042020763018,182.6908941405565,174026.79741064922,257730.7699827028,0.33
-0.8756407843301446,0.6828038556658576,0.0037854117839999993,118962.0054194191,15062445.330122791,279.0391181050619,180.37769590930657,174225.73764380632,257730.76998270556,0.34
-0.8622895308399707,0.6741809603574579,0.0037854117839999993,117590.43945999254,14837682.59982172,278.775060762822,178.09976795841717,174419.69793635947,257730.76998270833,0.35000000000000003
-0.8492159684206407,0.6656888006732515,0.0037854117839999993,116235.14699015059,14617522.03818738,278.51208204025687,175.85637670568727,174608.83655034442,257730.76998271138,0.36
-0.836411877695737,0.6573246818962941,0.0037854117839999993,114895.95388997978,14401826.172313442,278.2502304410382,173.6468102822111,174793.30543091774,257730.7699827143,0.37
-0.8238693623672281,0.6490859882726219,0.0037854117839999993,113572.68523084537,14190463.119150732,277.98955118839285,171.4703776788956,174973.25051352647,257730.76998271747,0.38
-0.8115808336638014,0.6409701799359838,0.0037854117839999993,112265.16555189808,13983306.30308147,277.73008641830717,169.32640793406057,175148.81201354865,257730.76998272084,0.39
-0.7995389956631808,0.632974789979352,0.0037854117839999993,110973.21911084722,13780234.190284926,277.471875360322,167.2142493598134,175320.1246995433,257730.76998272407,0.4
