isentropic_mdot [kg/s],isentropic_tank.mass [kg],isentropic_tank.volume [m^3],isentropic_tank.inenergy [J],isentropic_tank.pressure [Pa],isentropic_tank.temperature [degK],isentropic_tank.density [kg/m^3],isentropic_tank.sp_inenergy [J/kg],isentropic_tank.sp_enthalpy [J/kg],time [s]
-0.0927179233146152,0.30755154796239087,0.0037854117839999993,61137.15441173693,6894757.293169038,288.1500000000241,81.24652363115032,198786.69061100978,283648.8728315953,0.0
-0.09271792331463351,0.30745883003907626,0.0037854117839999993,61110.856900076695,6891563.242918064,288.1105718401809,81.22203014705792,198761.10532362937,283609.5538350391,0.001
-0.09268129356103777,0.3073661487455152,0.0037854117839999993,61084.57342128571,6888371.091646885,288.07115415971805,81.19754633952269,198735.52657179852,283570.2463655511,0.002
-0.09264468290459589,0.3072735040626106,0.0037854117839999993,61058.30396600182,6885180.8379109185,288.03174695380005,81.17307220349971,198709.9543524601,283530.9504169755,0.003
-0.09260809133225115,0.30718089597127834,0.0037854117839999993,61032.04852486978,6881992.4802668225,287.99235021759034,81.1486077339475,198684.38866255642,283491.66598315776,0.004
-0.09257151883095723,0.3070883244524474,0.0037854117839999993,61005.80708854255,6878806.0172727015,287.95296394625774,81.12415292582801,198658.82949903325,283452.3930579498,0.005
-0.09253496538767947,0.3069957894870597,0.0037854117839999993,60979.579647680555,6875621.447487989,287.9135881349731,81.09970777410666,198633.2768588376,283413.1316352069,0.006
-0.09249843098939454,0.3069032910560703,0.0037854117839999993,60953.36619295239,6872438.769473542,287.87422277891227,81.07527227375228,198607.73073891996,283373.88170879136,0.007
-0.09246191562309078,0.3068108291404472,0.0037854117839999993,60927.16671503393,6869257.9817915335,287.8348678732524,81.05084641973717,198582.1911362314,283334.6432725675,0.008
-0.0924254192757673,0.30671840372117143,0.0037854117839999993,60900.98120460945,6866079.083005582,287.7955234131767,81.02643020703702,198556.65804772745,283295.41632040835,0.009000000000000001
-0.09238894193443536,0.306626014779237,0.0037854117839999993,60874.809652370306,6862902.07168059,287.7561893938686,81.002023630631,198531.13147036344,283256.20084618765,0.01
-0.09235248358611672,0.3065336622956509,0.0037854117839999993,60848.65204901613,6859726.946382896,287.7168658105175,80.97762668550169,198505.6114010988,283216.9968437873,0.011
-0.09231604421784496,0.30644134625143304,0.0037854117839999993,60822.508385253925,6856553.70568016,287.6775526583144,80.95323936663507,198480.09783689395,283177.80430709216,0.012
-0.09227962381666474,0.3063490666276164,0.0037854117839999993,60796.378651798455,6853382.348141409,287.6382499324538,80.92886166902059,198454.59077471154,283138.6232299914,0.013000000000000001
-0.09224322236963206,0.3062568234052468,0.0037854117839999993,60770.262839372335,6850212.87233706,287.5989576281342,80.90449358765109,198429.09021151697,283099.4536063808,0.014
-0.09220683986381434,0.30616461656538296,0.0037854117839999993,60744.16093870559,6847045.276838827,287.55967574055575,80.8801351175228,198403.59614427676,283060.29543015856,0.015
-0.09217047628628967,0.3060724460890967,0.0037854117839999993,60718.07294053629,6843879.56021985,287.5204042649237,80.85578625363542,198378.10856996078,283021.14869522984,0.016
-0.09213413162414817,0.30598031195747255,0.0037854117839999993,60691.99883561024,6840715.7210546285,287.48114319644685,80.83144699099203,198352.6274855412,282982.01339550473,0.017
-0.09209780586449091,0.30588821415160805,0.0037854117839999993,60665.93861468054,6837553.75791896,287.44189253033545,80.80711732459913,198327.15288799113,282942.88952489616,0.018000000000000002
-0.09206149899443004,0.3057961526526136,0.0037854117839999993,60639.89226850818,6834393.669390026,287.4026522618038,80.78279724946661,198301.6847742865,282903.77707732265,0.019
-0.0920252110010889,0.3057041274416125,0.0037854117839999993,60613.85978786178,6831235.454046364,287.36342238606983,80.75848676060775,198276.22314140535,282864.6760467079,0.02
-0.09198894187160225,0.3056121384997409,0.0037854117839999993,60587.84116351757,6828079.110467845,287.32420289835386,80.73418585303928,198250.76798632767,282825.58642697963,0.021
-0.0919526915931158,0.30552018580814777,0.0037854117839999993,60561.83638625968,6824924.637235726,287.28499379388114,80.70989452178127,198225.31930603646,282786.50821207184,0.022
-0.09191646015278672,0.305428269347995,0.0037854117839999993,60535.845446879735,6821772.032932592,287.24579506787916,80.6856127618572,198199.87709751638,282747.4413959224,0.023
-0.09188024753778322,0.30533638910045724,0.0037854117839999993,60509.868336176434,6818621.296142312,287.20660671557664,80.66134056829398,198174.4413577524,282708.3859724712,0.024
-0.09184405373528433,0.30524454504672194,0.0037854117839999993,60483.90504495694,6815472.425450194,287.1674287322088,80.63707793612184,198149.01208373447,282669.3419356671,0.025
-0.09180787873248057,0.30515273716798946,0.0037854117839999993,60457.95556403586,6812325.419442867,287.12826111301354,80.61282486037443,198123.58927245403,282630.30927946273,0.026000000000000002
-0.09177172251657388,0.3050609654454729,0.0037854117839999993,60432.01988423498,6809180.276708255,287.0891038532302,80.58858133608878,198098.17292090325,282591.28799781343,0.027
-0.09173558507477662,0.3049692298603981,0.0037854117839999993,60406.09799638407,6806036.995835664,287.04995694810276,80.5643473583053,198072.76302607777,282552.278084681,0.028
-0.09169946639431271,0.3048775303940038,0.0037854117839999993,60380.1898913203,6802895.575415715,287.01082039287786,80.54012292206777,198047.35958497462,282513.27953403123,0.029
-0.09166336646241702,0.30478586702754135,0.0037854117839999993,60354.29555988874,6799756.014040403,286.9716941828067,80.51590802242333,198021.96259459417,282474.2923398358,0.03
-0.09162728526633573,0.304694239742275,0.0037854117839999993,60328.414992941645,6796618.3103030175,286.93257831314196,80.49170265442251,197996.57205193743,282435.3164960696,0.031
-0.09159122279332568,0.30460264851948166,0.0037854117839999993,60302.54818133894,6793482.462798184,286.8934727791399,80.4675068131192,197971.187954008,282396.35199671244,0.032
-0.09155517903065506,0.304511093340451,0.0037854117839999993,60276.6951159484,6790348.470121893,286.8543775760613,80.44332049357065,197945.81029781254,282357.3988357503,0.033
