run_time [s],time [s],state [-],Sensor Bus [Volts],OX-LC-A [lbf],OX-LC-B [lbf],OX-LC-C [lbf],OX-LC-D [lbf],FU-LC-A [lbf],FU-LC-B [lbf],FU-LC-C [lbf],FU-LC-D [lbf],CH-LC-A [lbf],CH-LC-B [lbf],OX-TC-093 [degF],OX-TC-097 [degF],FC-TC-056 [degF],CH-STC-101-A [degF],CH-STC-101-B [degF],CH-STC-101-C [degF],OX-PT-094 [psig],OX-PT-098 [psig],N2-PT-019 [psig],CH-PT-100 [psig]
35.0200,0.0000,1.0000,5.0112,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,75.0374,1348.2451,1342.5780,1344.4670,1340.6890,1340.6890,-200.0000,-200.0000,66.7903,67.58
36.0380,1.0180,1.0000,5.0164,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,69.3703,1348.2451,1342.5780,1344.4670,1340.6890,1342.5780,-200.0000,-200.0000,66.3968,67.58
36.0400,1.0200,1.0000,5.0112,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,73.1484,1348.2451,1342.5780,1344.4670,1340.6890,1340.6890,-200.0000,-200.0000,66.3968,67.58
36.0420,1.0220,1.0000,5.0112,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,73.1484,1346.3561,1342.5780,1344.4670,1340.6890,1340.6890,-200.0000,-200.0000,66.3968,67.58
36.0440,1.0240,1.0000,5.0164,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,73.1484,1348.2451,1342.5780,1342.5780,1342.5780,1342.5780,-200.0000,-200.0000,66.7903,67.58
36.0460,1.0260,1.0000,5.0112,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,75.0374,1348.2451,1342.5780,1344.4670,1340.6890,1342.5780,-200.0000,-200.0000,66.7903,67.58
36.0480,1.0280,1.0000,5.0112,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,75.0374,1348.2451,1342.5780,1344.4670,1340.6890,1342.5780,-200.0000,-200.0000,66.7903,67.97
36.0500,1.0300,1.0000,5.0164,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,73.1484,1350.1342,1342.5780,1346.3561,1342.5780,1342.5780,-200.0000,-200.0000,66.3968,67.58
36.0520,1.0320,1.0000,5.0164,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,73.1484,1350.1342,1344.4670,1344.4670,1340.6890,1342.5780,-200.0000,-200.0000,66.3968,67.58
36.0540,1.0340,1.0000,5.0164,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,75.0374,1350.1342,1342.5780,1344.4670,1342.5780,1342.5780,-200.0000,-200.0000,66.3968,67.58
36.0560,1.0360,1.0000,5.0164,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,73.1484,1348.2451,1342.5780,1346.3561,1342.5780,1342.5780,-200.0000,-200.0000,66.3968,67.58
36.0580,1.0380,1.0000,5.0112,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,73.1484,1346.3561,1342.5780,1342.5780,1340.6890,1340.6890,-200.0000,-200.0000,66.7903,67.58
36.0600,1.0400,1.0000,5.0164,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,73.1484,1350.1342,1344.4670,1346.3561,1342.5780,1342.5780,-200.0000,-200.0000,66.3968,67.58
36.0620,1.0420,1.0000,5.0112,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,73.1484,1348.2451,1342.5780,1342.5780,1340.6890,1342.5780,-200.0000,-200.0000,66.7903,67.58
36.0640,1.0440,1.0000,5.0164,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,73.1484,1350.1342,1342.5780,1346.3561,1342.5780,1342.5780,-200.0000,-200.0000,66.3968,67.58
36.0660,1.0460,1.0000,5.0164,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,75.0374,1348.2451,1344.4670,1346.3561,1344.4670,1342.5780,-200.0000,-200.0000,66.7903,67.58
36.0680,1.0480,1.0000,5.0164,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,75.0374,1348.2451,1342.5780,1344.4670,1342.5780,1342.5780,-200.0000,-200.0000,66.7903,67.97
36.0700,1.0500,1.0000,5.0164,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,73.1484,1348.2451,1344.4670,1346.3561,1342.5780,1342.5780,-200.0000,-200.0000,66.7903,67.97
36.0720,1.0520,1.0000,5.0164,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,73.1484,1348.2451,1344.4670,1346.3561,1342.5780,1344.4670,-200.0000,-200.0000,66.7903,67.58
36.0740,1.0540,1.0000,5.0164,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,75.0374,1348.2451,1344.4670,1346.3561,1344.4670,1342.5780,-200.0000,-200.0000,66.7903,67.58
36.0760,1.0560,1.0000,5.0164,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,73.1484,1350.1342,1344.4670,1346.3561,1342.5780,1344.4670,-200.0000,-200.0000,66.7903,67.97
36.0780,1.0580,1.0000,5.0112,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,73.1484,1348.2451,1340.6890,1344.4670,1342.5780,1342.5780,-200.0000,-200.0000,66.3968,67.58
36.0800,1.0600,1.0000,5.0164,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,73.1484,1346.3561,1340.6890,1344.4670,1342.5780,1342.5780,-200.0000,-200.0000,66.7903,67.97
36.0820,1.0620,1.0000,5.0217,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,73.1484,1348.2451,1342.5780,1346.3561,1342.5780,1344.4670,-200.0000,-200.0000,66.7903,67.58
36.0840,1.0640,1.0000,5.0164,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,73.1484,1348.2451,1342.5780,1344.4670,1344.4670,1344.4670,-200.0000,-200.0000,66.7903,67.58
