run_time [s],time [s],state [-],Sensor Bus [Volts],OX-LC-A [lbf],OX-LC-B [lbf],OX-LC-C [lbf],OX-LC-D [lbf],FU-LC-A [lbf],FU-LC-B [lbf],FU-LC-C [lbf],FU-LC-D [lbf],CH-LC-A [lbf],CH-LC-B [lbf],OX-TC-093 [degF],OX-TC-097 [degF],FC-TC-056 [degF],CH-STC-101-A [degF],CH-STC-101-B [degF],CH-STC-101-C [degF]OX-PT-094 [psig],OX-PT-098 [psig],N2-PT-019 [psig],CH-PT-100 [psig]
16.4520,1.1550,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-271.4569,109.7841,108.0668,108.6393,108.0668,108.0668,-200.0000,-199.3640,-5.8969,-5.54
16.4570,1.1600,1.0000,0.5661,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.8845,109.7841,108.6393,109.2117,108.0668,108.0668,-200.0000,-200.0000,-5.7776,-5.54
16.4620,1.1650,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,108.6393,108.6393,108.0668,108.0668,-200.0000,-200.0000,-5.7776,-5.54
16.4670,1.1700,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,108.0668,108.6393,108.0668,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.4720,1.1750,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.8845,109.7841,108.0668,108.6393,108.0668,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.4770,1.1800,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.8845,109.7841,108.0668,109.2117,108.0668,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.4820,1.1850,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,108.0668,108.0668,107.4944,107.4944,-200.0000,-200.0000,-5.8969,-5.54
16.4870,1.1900,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.8845,109.7841,108.0668,109.2117,108.0668,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.4920,1.1950,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.8845,109.2117,108.0668,109.2117,108.0668,108.6393,-200.0000,-200.0000,-5.8969,-5.54
16.4970,1.2000,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,108.0668,108.6393,108.0668,108.0668,-200.0000,-200.0000,-5.7776,-5.54
16.5020,1.2050,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.8845,110.3566,108.6393,109.2117,108.0668,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.5070,1.2100,1.0000,0.5673,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,107.4944,109.2117,108.0668,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.5120,1.2150,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,110.3566,108.0668,108.6393,108.0668,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.5170,1.2200,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.8845,110.3566,108.0668,109.2117,108.0668,108.6393,-200.0000,-200.0000,-5.8969,-5.54
16.5220,1.2250,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,108.6393,109.2117,108.0668,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.5270,1.2300,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,108.6393,108.6393,108.0668,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.5320,1.2350,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.8845,110.3566,108.6393,109.2117,108.0668,108.6393,-200.0000,-200.0000,-5.8969,-5.54
16.5370,1.2400,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,110.3566,108.6393,109.2117,108.0668,108.6393,-200.0000,-200.0000,-5.7776,-5.54
16.5420,1.2450,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,108.0668,108.6393,108.0668,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.5470,1.2500,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.8845,110.3566,108.6393,109.2117,108.6393,108.6393,-200.0000,-200.0000,-5.8969,-5.54
16.5520,1.2550,1.0000,0.5667,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,108.0668,109.2117,108.0668,108.0668,-200.0000,-200.0000,-5.8969,-5.54
16.5570,1.2600,1.0000,0.5661,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-270.3120,109.7841,108.0668,108.6393,108.0668,108.0668,-200.0000,-200.0000,-5.8969,-5.54
