run_time [s],time [s],state [-],Sensor Voltage [Volts],OX-LC-A [lbf],OX-LC-B [lbf],OX-LC-C [lbf],OX-LC-D[lbf], FU-LC-A [lbf],FU-LC-B [lbf],FU-LC-C [lbf],FU-LC-D [lbf],CH-LC-A [lbf], CH-LC-B [lbf],OX-TC-093 [degF],OX-TC-097 [degF],FC-TC-056 [degF],CH-STC-101-A [degF], CH-STC-101-B [degF],CH-STC-101-C [degF]OX-PT-094 [psig],OX-PT-098 [psig],N2-PT-019 [psig], CH-PT-100 [psig]
84.9710,579.7131,1.1490,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1338.7999,540090.7500,537748.3750,538919.5625,537748.3750,150081.1875,450.6667,-200.0000,32292.5000,32658.5000
84.9760,579.7131,1.1540,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,753.2000,540090.7500,537748.3750,538334.0000,537748.3750,150081.1875,-200.0000,-200.0000,32292.5000,32658.5000
84.9810,579.7131,1.1590,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,167.6000,540090.7500,538334.0000,538919.5625,537748.3750,150666.7969,-200.0000,-200.0000,32292.5000,32658.5000
84.9860,579.7131,1.1640,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,753.2000,540676.3750,538334.0000,538919.5625,538334.0000,150666.7969,-200.0000,-200.0000,32292.5000,32658.5000
84.9910,579.7131,1.1690,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,753.2000,540090.7500,538334.0000,538919.5625,537748.3750,150081.1875,-200.0000,-200.0000,32292.5000,32658.5000
84.9960,580.3279,1.1740,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,167.6000,540090.7500,538919.5625,538919.5625,537748.3750,150081.1875,-200.0000,-200.0000,32292.5000,32658.5000
85.0010,579.7131,1.1790,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,753.2000,540676.3750,538334.0000,538919.5625,537748.3750,150081.1875,-200.0000,-200.0000,32292.5000,32658.5000
85.0060,580.3279,1.1840,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,753.2000,540090.7500,538334.0000,538919.5625,538334.0000,150081.1875,-200.0000,-200.0000,32292.5000,32658.5000
85.0110,580.3279,1.1890,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-418.0000,540090.7500,538334.0000,538919.5625,537748.3750,150081.1875,-200.0000,-200.0000,32292.5000,32658.5000
85.0160,580.3279,1.1940,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1338.7999,540090.7500,538334.0000,538919.5625,537748.3750,150666.7969,-200.0000,-200.0000,32292.5000,32658.5000
85.0210,580.3279,1.1990,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,167.6000,540090.7500,538334.0000,539505.1875,538334.0000,150666.7969,-200.0000,-200.0000,32292.5000,32658.5000
85.0260,579.7131,1.2040,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,167.6000,539505.1875,538334.0000,538919.5625,538334.0000,150666.7969,-200.0000,-200.0000,32414.5000,32658.5000
85.0310,580.3279,1.2090,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-418.0000,540090.7500,537748.3750,539505.1875,538334.0000,150081.1875,-200.0000,-200.0000,32292.5000,32658.5000
85.0360,579.7131,1.2140,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,167.6000,540090.7500,538334.0000,538919.5625,537748.3750,150666.7969,-200.0000,-200.0000,32292.5000,32658.5000
85.0410,579.7131,1.2190,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,753.2000,540090.7500,538334.0000,538919.5625,537748.3750,150666.7969,-200.0000,-200.0000,32414.5000,32658.5000
85.0460,579.7131,1.2240,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,753.2000,540090.7500,538334.0000,538334.0000,537748.3750,150666.7969,-200.0000,-200.0000,32292.5000,32658.5000
85.0510,579.7131,1.2290,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,167.6000,540090.7500,537748.3750,538334.0000,537748.3750,150666.7969,-200.0000,-200.0000,32292.5000,32658.5000
85.0560,579.7131,1.2340,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,167.6000,540090.7500,537748.3750,538334.0000,537162.7500,150081.1875,-200.0000,-200.0000,32292.5000,32658.5000
85.0610,580.3279,1.2390,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,753.2000,540090.7500,538334.0000,538919.5625,537748.3750,150081.1875,-200.0000,-200.0000,32292.5000,32536.5000
85.0660,579.7131,1.2440,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,753.2000,540090.7500,537748.3750,538919.5625,537748.3750,150666.7969,-200.0000,-200.0000,32292.5000,32658.5000
85.0710,580.3279,1.2490,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1338.7999,540090.7500,538334.0000,538919.5625,537748.3750,150081.1875,-200.0000,-200.0000,32292.5000,32536.5000
85.0760,579.7131,1.2540,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1338.7999,540090.7500,537748.3750,538919.5625,537748.3750,150081.1875,-200.0000,-200.0000,32292.5000,32658.5000
85.0810,579.7131,1.2590,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,167.6000,540676.3750,537748.3750,538919.5625,537748.3750,150081.1875,-200.0000,-200.0000,32292.5000,32536.5000
85.0860,579.7131,1.2640,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,167.6000,540090.7500,538334.0000,538334.0000,537748.3750,150081.1875,-200.0000,-200.0000,32292.5000,32658.5000
85.0910,579.7131,1.2690,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,167.6000,540090.7500,538334.0000,538919.5625,537748.3750,150081.1875,-200.0000,-200.0000,32292.5000,32658.5000
85.0960,580.3279,1.2740,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,167.6000,540090.7500,538334.0000,538919.5625,538334.0000,150081.1875,-200.0000,-200.0000,32292.5000,32536.5000
85.1010,580.3279,1.2790,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-418.0000,540090.7500,538334.0000,538919.5625,537748.3750,150666.7969,-200.0000,-200.0000,32292.5000,32658.5000
