run_time [s],time [s],state [-],ox_l1 [lbf],ox_l2 [lbf],ox_l3 [lbf],ox_l4 [lbf],fu_l1 [lbf],fu_l2 [lbf],fu_l3 [lbf],fu_l4 [lbf],ox_tc_094 [degF],ox_tc_097 [degF],fu_tc_056 [degF],ch_stc_101_a [degF],ch_stc_101_b [degF],ch_stc_101_c [degF]
35.0770,1.2510,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1261.40,-404.00,-404.00
35.0830,1.2570,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1261.40,-404.00,-404.00
35.0890,1.2630,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1261.40,-404.00,-404.00
35.0950,1.2690,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1260.32,80.96,1261.40,-404.00,-404.00
35.1010,1.2750,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1260.32,80.96,1261.40,-404.00,-404.00
35.1070,1.2810,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1260.32,80.96,1261.40,-404.00,-404.00
35.1130,1.2870,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1260.32,80.96,1259.24,-404.00,-404.00
35.1190,1.2930,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1259.24,-404.00,-404.00
35.1250,1.2990,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1259.24,80.96,1259.24,-404.00,-404.00
35.1310,1.3050,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1259.24,80.96,1259.24,-404.00,-404.00
35.1370,1.3110,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1259.24,80.96,1261.40,-404.00,-404.00
35.1430,1.3170,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1259.24,80.96,1261.40,-404.00,-404.00
35.1490,1.3230,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1261.40,-404.00,-404.00
35.1550,1.3290,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1261.40,-404.00,-404.00
35.1610,1.3350,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1260.32,-404.00,-404.00
35.1670,1.3410,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1260.32,-404.00,-404.00
35.1730,1.3470,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1260.32,-404.00,-404.00
35.1790,1.3530,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1260.32,-404.00,-404.00
35.1850,1.3590,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1261.40,-404.00,-404.00
35.1910,1.3650,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1260.32,80.96,1261.40,-404.00,-404.00
35.1970,1.3710,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1260.32,80.96,1261.40,-404.00,-404.00
35.2030,1.3770,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1260.32,80.96,1261.40,-404.00,-404.00
35.2090,1.3830,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1260.32,80.96,1261.40,-404.00,-404.00
35.2150,1.3890,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1261.40,-404.00,-404.00
35.2210,1.3950,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1261.40,-404.00,-404.00
35.2270,1.4010,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1261.40,-404.00,-404.00
35.2330,1.4070,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1261.40,-404.00,-404.00
35.2390,1.4130,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1261.40,-404.00,-404.00
35.2450,1.4190,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1258.16,80.96,1261.40,-404.00,-404.00
35.2510,1.4250,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1258.16,80.96,1261.40,-404.00,-404.00
35.2570,1.4310,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1258.16,80.96,1261.40,-404.00,-404.00
35.2630,1.4370,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1258.16,80.96,1261.40,-404.00,-404.00
35.2690,1.4430,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1260.32,80.96,1261.40,-404.00,-404.00
35.2750,1.4490,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1260.32,80.96,1261.40,-404.00,-404.00
35.2810,1.4550,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1259.24,1260.32,80.96,1261.40,-404.00,-404.00
35.2870,1.4610,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1260.32,80.96,1261.40,-404.00,-404.00
35.2930,1.4670,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1260.32,1259.24,80.96,1261.40,-404.00,-404.00
