run_time [s],time [s],state [-],Sensor Bus [Volts],OX-LC-A [lbf],OX-LC-B [lbf],OX-LC-C [lbf],OX-LC-D [lbf],FU-LC-A [lbf],FU-LC-B [lbf],FU-LC-C [lbf],FU-LC-D [lbf],CH-LC-A [lbf],CH-LC-B [lbf],OX-TC-093 [degF],OX-TC-097 [degF],FC-TC-056 [degF],CH-STC-101-A [degF],CH-STC-101-B [degF],CH-STC-101-C [degF],OX-PT-094 [psig],OX-PT-098 [psig],N2-PT-019 [psig],CH-PT-100 [psig]
40.9970,0.0000,1.0000,579.7131,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,753.2000,540090.7500,538919.5625,540090.7500,538334.0000,149495.5938,-200.0000,-200.0000,32292.5000,32658.50
42.0200,1.0230,1.0000,580.3279,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1338.7999,540090.7500,538334.0000,538919.5625,538334.0000,149495.5938,-200.0000,-200.0000,32292.5000,32658.50
42.0250,1.0280,1.0000,579.7131,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1338.7999,540090.7500,538334.0000,538334.0000,537748.3750,149495.5938,-200.0000,-200.0000,32292.5000,32658.50
42.0300,1.0330,1.0000,580.3279,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,167.6000,540676.3750,538334.0000,539505.1875,538334.0000,150081.1875,-200.0000,-200.0000,32292.5000,32658.50
42.0350,1.0380,1.0000,580.3279,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,167.6000,541262.0000,538334.0000,538919.5625,538334.0000,149495.5938,-200.0000,-200.0000,32292.5000,32536.50
42.0400,1.0430,1.0000,580.3279,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,753.2000,540676.3750,538334.0000,538919.5625,538334.0000,149495.5938,-200.0000,-200.0000,32292.5000,32658.50
42.0450,1.0480,1.0000,579.0983,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,753.2000,539505.1875,537748.3750,538334.0000,537162.7500,149495.5938,-200.0000,-200.0000,32292.5000,32536.50
42.0500,1.0530,1.0000,579.7131,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1924.3999,540676.3750,538334.0000,538919.5625,537748.3750,149495.5938,-200.0000,-200.0000,32292.5000,32658.50
42.0550,1.0580,1.0000,580.3279,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,753.2000,540676.3750,538334.0000,538919.5625,537748.3750,149495.5938,-200.0000,-200.0000,32292.5000,32658.50
42.0600,1.0630,1.0000,580.3279,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,753.2000,540090.7500,538334.0000,538919.5625,538334.0000,149495.5938,-200.0000,-200.0000,32292.5000,32658.50
42.0650,1.0680,1.0000,580.3279,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,167.6000,540090.7500,538334.0000,538919.5625,538334.0000,149495.5938,-200.0000,-200.0000,32292.5000,32658.50
42.0700,1.0730,1.0000,580.3279,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1338.7999,540090.7500,538334.0000,539505.1875,537748.3750,149495.5938,450.6667,-200.0000,32292.5000,32536.50
42.0750,1.0780,1.0000,580.3279,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1924.3999,540676.3750,538334.0000,538919.5625,537748.3750,149495.5938,-200.0000,-200.0000,32292.5000,32658.50
42.0800,1.0830,1.0000,580.3279,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,753.2000,540676.3750,538334.0000,539505.1875,538334.0000,149495.5938,-200.0000,-200.0000,32292.5000,32658.50
