run_time [s],time [s],state [-],ox_l1 [lbf]
7.8240,0.0000,1,-9653.00
8.8540,1.0300,1,-9653.00
8.8640,1.0400,1,-11249.00
8.8680,1.0440,1,-11249.00
8.8730,1.0490,1,-9831.00
8.8770,1.0530,1,-9831.00
8.8810,1.0570,1,-9831.00
8.8860,1.0620,1,-9281.00
8.8900,1.0660,1,-9281.00
8.8940,1.0700,1,-10994.00
8.8980,1.0740,1,-10994.00
8.9030,1.0790,1,-10994.00
8.9070,1.0830,1,-10219.00
8.9110,1.0870,1,-10219.00
8.9150,1.0910,1,-10219.00
8.9200,1.0960,1,-9037.00
8.9240,1.1000,1,-9037.00
8.9280,1.1040,1,-10673.00
8.9320,1.1080,1,-10673.00
8.9370,1.1130,1,-10673.00
8.9420,1.1180,1,-10572.00
8.9470,1.1230,1,-10572.00
8.9510,1.1270,1,-9204.00
8.9560,1.1320,1,-9204.00
8.9610,1.1370,1,-9204.00
8.9650,1.1410,1,-10703.00
8.9700,1.1460,1,-10703.00
8.9750,1.1510,1,-10936.00
8.9790,1.1550,1,-10936.00
8.9840,1.1600,1,-10936.00
8.9880,1.1640,1,-9299.00
8.9930,1.1690,1,-9299.00
9.0020,1.1780,1,-10561.00
9.0130,1.1890,1,-11214.00
9.0170,1.1930,1,-11214.00
9.0220,1.1980,1,-9264.00
9.0270,1.2030,1,-9264.00
9.0310,1.2070,1,-9825.00
9.0360,1.2120,1,-9825.00
9.0410,1.2170,1,-9825.00
9.0460,1.2220,1,-11034.00
9.0510,1.2270,1,-11034.00
9.0560,1.2320,1,-9339.00
9.0730,1.2490,1,-9410.00
9.0860,1.2620,1,-11091.00
9.0910,1.2670,1,-9808.00
9.0960,1.2720,1,-9808.00
9.1010,1.2770,1,-9188.00
9.1060,1.2820,1,-9188.00
9.1100,1.2860,1,-11030.00
9.1150,1.2910,1,-11030.00
9.1200,1.2960,1,-11030.00
9.1240,1.3000,1,-10290.00
9.1290,1.3050,1,-10290.00
9.1340,1.3100,1,-9076.00
9.1380,1.3140,1,-9076.00
9.1430,1.3190,1,-9076.00
9.1480,1.3240,1,-10832.00
9.1530,1.3290,1,-10832.00
9.1580,1.3340,1,-10652.00
9.1630,1.3390,1,-10652.00
9.1670,1.3430,1,-9011.00
9.1720,1.3480,1,-9011.00
9.1820,1.3580,1,-10424.00
9.1920,1.3680,1,-10715.00
9.1970,1.3730,1,-10715.00
9.2020,1.3780,1,-8914.00
9.2070,1.3830,1,-8914.00
9.2120,1.3880,1,-8914.00
9.2170,1.3930,1,-9892.00
