run_time [s],time [s],state [-],ox_l1 [lbf],ox_l2 [lbf],ox_l3 [lbf],ox_l4 [lbf],fu_l1 [lbf],fu_l2 [lbf],fu_l3 [lbf],fu_l4 [lbf],ox_tc_094 [degF],ox_tc_097 [degF],fu_tc_056 [degF],ch_stc_101_a [degF],ch_stc_101_b [degF],ch_stc_101_c [degF]
16.7120,0.0000,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1334.84,1334.84,78.80,1334.84,-404.00,-404.00
17.7900,1.0780,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1334.84,1334.84,78.80,1334.84,-404.00,-404.00
17.8020,1.0900,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1334.84,1334.84,77.72,1334.84,-404.00,-404.00
17.8140,1.1020,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1334.84,1334.84,77.72,1334.84,-404.00,-404.00
17.8260,1.1140,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1334.84,1334.84,77.72,1334.84,-404.00,-404.00
17.8380,1.1260,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1334.84,1333.76,77.72,1334.84,-404.00,-404.00
17.8500,1.1380,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1334.84,1333.76,78.80,1334.84,-404.00,-404.00
17.8620,1.1500,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1334.84,1333.76,78.80,1334.84,-404.00,-404.00
17.8740,1.1620,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1334.84,1333.76,78.80,1334.84,-404.00,-404.00
17.8860,1.1740,1,0.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,-404.0000,1334.84,1333.76,78.80,1334.84,-404.00,-404.00
