run_time [s],time [s],state [-],ox_l1 [lbf]
43.924000,0.000000,1,0.000000
45.001999,1.077999,1,-1.000000
45.008999,1.084999,1,-1.000000
45.014999,1.091000,1,0.000000
45.021000,1.097000,1,0.000000
45.028000,1.104000,1,0.000000
45.034000,1.110001,1,0.000000
45.040001,1.116001,1,0.000000
45.047001,1.123001,1,0.000000
45.053001,1.129002,1,-1.000000
45.075001,1.151001,1,-1.000000
45.082001,1.158001,1,0.000000
45.088001,1.164001,1,0.000000
45.095001,1.171001,1,0.000000
45.101002,1.177002,1,0.000000
45.106998,1.182999,1,0.000000
45.113998,1.189999,1,0.000000
45.119999,1.195999,1,0.000000
45.125999,1.202000,1,0.000000
45.132999,1.209000,1,0.000000
45.139000,1.215000,1,0.000000
45.146000,1.222000,1,-1.000000
45.152000,1.228001,1,0.000000
45.158001,1.234001,1,0.000000
45.165001,1.241001,1,0.000000
45.171001,1.247002,1,0.000000
45.176998,1.252998,1,0.000000
45.183998,1.259998,1,0.000000
45.189999,1.265999,1,0.000000
45.195999,1.271999,1,0.000000
45.202999,1.278999,1,-1.000000
45.209000,1.285000,1,-1.000000
45.215000,1.291000,1,0.000000
45.222000,1.298000,1,0.000000
45.228001,1.304001,1,0.000000
45.234001,1.310001,1,0.000000
45.241001,1.317001,1,0.000000
45.247002,1.323002,1,0.000000
45.254002,1.330002,1,0.000000
45.259998,1.335999,1,0.000000
45.265999,1.341999,1,0.000000
45.272999,1.348999,1,0.000000
45.278999,1.355000,1,-1.000000
45.285000,1.361000,1,0.000000
45.292000,1.368000,1,0.000000
45.298000,1.374001,1,0.000000
45.304001,1.380001,1,0.000000
45.311001,1.387001,1,0.000000
45.317001,1.393002,1,0.000000
45.324001,1.400002,1,0.000000
45.330002,1.406002,1,0.000000
45.335999,1.411999,1,-1.000000
45.342999,1.418999,1,-1.000000
45.348999,1.424999,1,0.000000
45.355000,1.431000,1,0.000000
45.362000,1.438000,1,-1.000000
45.368000,1.444000,1,0.000000
45.375000,1.451000,1,0.000000
45.381001,1.457001,1,0.000000
45.387001,1.463001,1,0.000000
45.394001,1.470001,1,0.000000
45.400002,1.476002,1,0.000000
45.405998,1.481998,1,0.000000
45.412998,1.488998,1,0.000000
45.418999,1.494999,1,-1.000000
45.424999,1.500999,1,-1.000000
45.431999,1.507999,1,0.000000
45.438000,1.514000,1,0.000000
45.445000,1.521000,1,0.000000
45.451000,1.527000,1,0.000000
45.457001,1.533001,1,0.000000
45.464001,1.540001,1,0.000000
45.487000,1.563000,1,0.000000
45.494999,1.570999,1,-1.000000
45.501999,1.577999,1,0.000000
45.507999,1.584000,1,0.000000
45.514000,1.590000,1,0.000000
45.521000,1.597000,1,0.000000
45.527000,1.603001,1,0.000000
45.533001,1.609001,1,0.000000
45.540001,1.616001,1,0.000000
45.546001,1.622002,1,0.000000
45.553001,1.629002,1,-1.000000
45.558998,1.634998,1,-1.000000
45.564999,1.640999,1,0.000000
45.571999,1.647999,1,0.000000
45.577999,1.653999,1,0.000000
45.584000,1.660000,1,0.000000
45.591000,1.667000,1,0.000000
45.597000,1.673000,1,0.000000
45.604000,1.680000,1,0.000000
45.610001,1.686001,1,0.000000
45.616001,1.692001,1,0.000000
45.623001,1.699001,1,0.000000
45.629002,1.705002,1,-1.000000
45.634998,1.710999,1,0.000000
45.641998,1.717999,1,0.000000
45.647999,1.723999,1,0.000000
45.654999,1.730999,1,0.000000
45.660999,1.737000,1,0.000000
45.667000,1.743000,1,0.000000
45.674000,1.750000,1,0.000000
45.680000,1.756001,1,0.000000
45.686001,1.762001,1,-1.000000
45.693001,1.769001,1,-1.000000
45.699001,1.775002,1,0.000000
45.706001,1.782001,1,0.000000
45.712002,1.788002,1,-1.000000
45.717999,1.793999,1,0.000000
45.724998,1.800999,1,0.000000
45.730999,1.806999,1,0.000000
45.737000,1.813000,1,0.000000
45.743999,1.820000,1,0.000000
45.750000,1.826000,1,0.000000
45.757000,1.833000,1,0.000000
45.763000,1.839001,1,0.000000
45.769001,1.845001,1,-1.000000
45.776001,1.852001,1,-1.000000
45.782001,1.858002,1,0.000000
45.789001,1.865002,1,0.000000
45.794998,1.870998,1,0.000000
45.800999,1.876999,1,0.000000
45.807999,1.883999,1,0.000000
45.813999,1.889999,1,0.000000
45.820000,1.896000,1,0.000000
45.827000,1.903000,1,0.000000
45.833000,1.909000,1,0.000000
45.840000,1.916000,1,0.000000
45.846001,1.922001,1,0.000000
45.852001,1.928001,1,-1.000000
45.859001,1.935001,1,-1.000000
45.865002,1.941002,1,0.000000
45.872002,1.948002,1,0.000000
45.877998,1.953999,1,0.000000
45.901001,1.977001,1,0.000000
45.909000,1.985001,1,0.000000
45.915001,1.991001,1,0.000000
45.922001,1.998001,1,0.000000
45.928001,2.004002,1,0.000000
45.935001,2.011002,1,0.000000
45.941002,2.017002,1,0.000000
45.948002,2.024002,1,0.000000
45.953999,2.029999,1,0.000000
45.959999,2.035999,1,0.000000
45.966999,2.042999,1,0.000000
45.973000,2.049000,1,0.000000
45.980000,2.056000,1,0.000000
45.986000,2.062000,1,-1.000000
45.993000,2.069000,1,-1.000000
45.999001,2.075001,1,0.000000
46.006001,2.082001,1,0.000000
46.012001,2.088001,1,-1.000000
46.018002,2.094002,1,0.000000
46.025002,2.101002,1,0.000000
46.030998,2.106998,1,0.000000
46.037998,2.113998,1,0.000000
46.043999,2.119999,1,0.000000
46.050999,2.126999,1,0.000000
46.056999,2.132999,1,0.000000
46.063999,2.139999,1,0.000000
46.070000,2.146000,1,0.000000
